Désignation;Type de médicament;Laboratoire
CLOMIPRAMINE SANDOZ 25 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
CLOMIPRAMINE SANDOZ 75 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANDOZ
CLOMIPRAMINE TEVA 10 mg  gélule;gélule;TEVA SANTE
CLOMIPRAMINE TEVA 25 mg  gélule;gélule;TEVA SANTE
CLOPIDOGREL ALMUS 75 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
CLOPIDOGREL ALTER 75 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES ALTER
CLOPIDOGREL ARROW 75 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
CLOPIDOGREL ARROW GENERIQUES 75 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
CLOPIDOGREL ARROW LAB 75 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
CLOPIDOGREL BGR 75 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
CLOPIDOGREL BIOGARAN 75 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
CLOPIDOGREL BIPHAR 75 mg  comprimé pelliculé;comprimé pelliculé;MYLAN MEDICAL
CLOPIDOGREL BOUCHARA-RECORDATI 75 mg  comprimé pelliculé;comprimé pelliculé;BOUCHARA-RECORDATI
CLOPIDOGREL CRISTERS 75 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
CLOPIDOGREL EG 75 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
CLOPIDOGREL EG LABO 75 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
CLOPIDOGREL EVOLUGEN 75 mg  comprimé pelliculé;comprimé pelliculé;EVOLUPHARM
CLOPIDOGREL ISOMED 75 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
CLOPIDOGREL KRKA 75 mg  comprimé pelliculé;comprimé pelliculé;KRKA (SLOVENIE)
CLOPIDOGREL MYLAN 75 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
CLOPIDOGREL MYLAN PHARMA 75 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
CLOPIDOGREL PHR LAB 75 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
CLOPIDOGREL RANBAXY PHARMACIE GENERIQUES 75 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
CLOPIDOGREL RATIOPHARM GmbH 75 mg  comprimé pelliculé;comprimé pelliculé;ARCHIE SAMUEL (REPUBLIQUE TCHEQUE)
CLOPIDOGREL RPG 75 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
CLOPIDOGREL SANDOZ 75 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
CLOPIDOGREL TEVA 75 mg  comprimé pelliculé;comprimé pelliculé;TEVA (PAYS-BAS)
CLOPIDOGREL TEVA PHARMA 75 mg  comprimé pelliculé;comprimé pelliculé;TEVA (PAYS-BAS)
CLOPIDOGREL ZENTIVA 75 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA (REPUBLIQUE TCHEQUE)
CLOPIDOGREL ZF 75 mg  comprimé pelliculé;comprimé pelliculé;ZYDUS FRANCE
CLOPIXOL 10 mg  comprimé pelliculé;comprimé pelliculé;LUNDBECK SAS
CLOPIXOL 2 POUR CENT  solution buvable en gouttes;solution buvable gouttes;LUNDBECK SAS
CLOPIXOL 25 mg  comprimé pelliculé;comprimé pelliculé;LUNDBECK SAS
CLOPIXOL A ACTION SEMI-PROLONGEE 50 mg/ml  solution injectable I.M.;solution injectable;LUNDBECK SAS
CLOPIXOL ACTION PROLONGEE 200 mg/1 ml  solution injectable I.M.;solution injectable;LUNDBECK SAS
CLOROTEKAL 10 mg/ml  solution injectable;solution injectable;NORDIC GROUP (PAYS-BAS)
CLOTTAFACT 1 5 g/100 ml  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;LFB-BIOMEDICAMENTS
CLOXACILLINE ARROW 500 mg  gélule;gélule;ARROW GENERIQUES
CLOXACILLINE BIOGARAN 500 mg  gélule;gélule;BIOGARAN
CLOXACILLINE EG 500 mg  gélule;gélule;EG LABO - LABORATOIRES EUROGENERICS
CLOXACILLINE GERDA 500 mg  gélule;gélule;LABORATOIRES GERDA
CLOXACILLINE PANPHARMA 1 g  poudre pour solution injectable (I.V.);poudre pour solution injectable;PANPHARMA
CLOXACILLINE PANPHARMA 500 mg  poudre pour solution injectable (I.V.);poudre pour solution injectable;PANPHARMA
CLOXACILLINE SANDOZ 500 mg  gélule;gélule;SANDOZ
CLOZAPINE BIOGARAN 100 mg  comprimé sécable;comprimé sécable;PANPHARMA
CLOZAPINE BIOGARAN 25 mg  comprimé sécable;comprimé sécable;PANPHARMA
CLOZAPINE EG 100 mg  comprimé sécable;comprimé sécable;EG LABO - LABORATOIRES EUROGENERICS
CLOZAPINE EG 25 mg  comprimé sécable;comprimé sécable;EG LABO - LABORATOIRES EUROGENERICS
CLOZAPINE MYLAN 100 mg  comprimé sécable;comprimé sécable;MYLAN SAS
CLOZAPINE MYLAN 25 mg  comprimé sécable;comprimé sécable;MYLAN SAS
CNICUS BENEDICTUS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60D;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CO RENITEC 20 mg/12 5 mg  comprimé;comprimé;MSD FRANCE
COAPROVEL 150 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;SANOFI CLIR
COAPROVEL 300 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;SANOFI CLIR
COAPROVEL 300 mg/25 mg  comprimé pelliculé;comprimé pelliculé;SANOFI CLIR
COBALT OLIGOSOL  solution buvable en ampoule;solution buvable;LABCATAL
COBALTUM METALLICUM BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COBALTUM METALLICUM WELEDA  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;solution et granules et poudre et pommade;WELEDA
COCCULINE  comprimé orodispersible;comprimé orodispersible;BOIRON
COCCULINE  granules en récipient unidose;granules;BOIRON
COCCULUS INDICUS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COCCULUS INDICUS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
COCCULUS INDICUS WELEDA  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
COCCUS CACTI WELEDA  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;granules et  solution en gouttes en gouttes et  poudre;WELEDA
COCHLEARIA ARMORACIA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COCHLEARIA ARMORACIA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
COCHLEARIA OFFICINALIS BOIRON  degré de dilution compris entre 2CH à 30CH et 4DH à 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COCHLEARIA OFFICINALIS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes et  crème;WELEDA
CODEDRILL SANS SUCRE 0 1 POUR CENT  solution buvable édulcorée à la saccharine;solution buvable;PIERRE FABRE MEDICAMENT
CODOLIPRANE 500 mg/30 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
CODOLIPRANE 500 mg/30 mg  comprimé effervescent sécable;comprimé effervescent(e) sécable;SANOFI AVENTIS FRANCE
CODOLIPRANE 500 mg/30 mg  gélule;gélule;SANOFI AVENTIS FRANCE
CODOLIPRANE ADULTES 400 mg/20 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
CODOTUSSYL TOUX SECHE PENTOXYVERINE 3 2 mg/ml  sirop;sirop;GENEVRIER
COFFEA CRUDA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COFFEA CRUDA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
COFFEA TOSTA BOIRON  dégré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COFFEA TOSTA WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  crème et  solution en gouttes en gouttes;WELEDA
COKENZEN 16 mg/12 5 mg  comprimé sécable;comprimé sécable;TAKEDA FRANCE
COKENZEN 8 mg/12 5 mg  comprimé sécable;comprimé sécable;TAKEDA FRANCE
COLCHICINE OPOCALCIUM 1 mg  comprimé sécable;comprimé sécable;LABORATOIRES MAYOLY SPINDLER
COLCHICUM AUTUMNALE BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COLCHICUM AUTUMNALE LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
COLCHICUM AUTUMNALE  digesté WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes et  crème;WELEDA
COLCHIMAX  comprimé pelliculé sécable;comprimé pelliculé sécable;LABORATOIRES MAYOLY SPINDLER
COLIMYCINE 1 MUI  poudre et solvant pour inhalation par nébuliseur;poudre et  solvant pour inhalation par nébuliseur;SANOFI AVENTIS FRANCE
COLIMYCINE 1.000.000 U.I.  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;SANOFI AVENTIS FRANCE
COLISTIMETHATE SODIQUE MEDAC 1 000 000 U.I.  poudre pour solution injectable;poudre pour solution injectable;MEDAC
COLISTIMETHATE SODIQUE PANPHARMA 1.000.000 U.I.  poudre pour solution injectable;poudre pour solution injectable;PANMEDICA
COLLINSONIA CANADENSIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COLLINSONIA CANADENSIS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
COLLUDOL  solution pour pulvérisation buccale en flacon pressurisé;solution pour pulvérisation;COOPER
COLLUNOVAR 0 11 POUR CENT  solution pour pulvérisation buccale en flacon pressurisé;solution pour pulvérisation;LABORATOIRES ETHYPHARM
COLLYRE BLEU LAITER  flacon;collyre;BIOCODEX
COLOBREATHE 1 662 500 UI  poudre pour inhalation en gélule;poudre pour inhalation en gélule;TEVA (PAYS-BAS)
COLOCYNTHIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
COLOCYNTHIS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
COLOCYNTHIS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
COLOFOAM  mousse rectale;mousse;MEDA PHARMA
COLOKIT  comprimé;comprimé;LABORATOIRES MAYOLY SPINDLER
COLOPEG  poudre pour solution buvable;poudre pour solution buvable;BOUCHARA-RECORDATI
COLPOSEPTINE  comprimé gynécologique;comprimé;TEVA SANTE
COLPOTROPHINE 1 POUR CENT  crème;crème;THERAMEX IRELAND (IRLANDE)
COLPOTROPHINE  capsule vaginale;capsule;THERAMEX IRELAND (IRLANDE)
COLPRONE 5 mg  comprimé;comprimé;NEURAXPHARM FRANCE
COLTRAMYL 4 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
COMBANTRIN 125 mg  comprimé;comprimé;TEOFARMA
COMBANTRIN 125 mg/2 5 ml  suspension buvable;suspension buvable;TEOFARMA
COMBIGAN 2 mg/ml + 5 mg/ml  collyre en solution;collyre en solution;ALLERGAN PHARMACEUTICALS IRELAND (IRLANDE)
COMBIGAN 2 mg/ml + 5 mg/ml  collyre en solution;collyre en solution;BB FARMA (ITALIE)
COMBIVIR 150 mg/300 mg  comprimé pelliculé;comprimé pelliculé sécable;VIIV HEALTHCARE UK (ROYAUME-UNI)
COMBODART 0 5 mg/0 4 mg  gélule;gélule;GLAXOSMITHKLINE
COMPENSAL 15 G 10  solution injectable pour perfusion;solution pour perfusion injectable;B BRAUN MEDICAL
COMPRALFENE 1 %  gel;gel;GIFRER BARBEZAT
COMPRALGYL 400 mg/20 mg  comprimé sécable;comprimé sécable;GIFRER BARBEZAT
COMTAN 200 mg  comprimé pelliculé;comprimé pelliculé;NOVARTIS EUROPHARM (ROYAUME-UNI)
CONCERTA LP 18 mg  comprimé à libération prolongée;comprimé à libération prolongée;JANSSEN CILAG
CONCERTA LP 36 mg  comprimé à libération prolongée;comprimé à libération prolongée;JANSSEN CILAG
CONCERTA LP 54 mg  comprimé à libération prolongée;comprimé à libération prolongée;JANSSEN CILAG
CONDURANGO BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CONDYLINE 0 5 %  solution pour application cutanée;solution pour application;KARO PHARMA (SUEDE)
CONEBILOX 5 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
CONEBILOX 5 mg/25 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
CONFIDEX 1000 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
CONFIDEX 250 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
CONFIDEX 500 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;CSL BEHRING (ALLEMAGNE)
CONIUM MACULATUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CONIUM MACULATUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CONIUM MACULATUM WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  crème et  solution en gouttes en gouttes;WELEDA
CONTALAX  comprimé gastro-résistant;comprimé gastro-résistant(e);LABORATOIRES OMEGA PHARMA FRANCE
CONTRACNE 10 mg  capsule molle;capsule molle;LABORATOIRES BAILLEUL (LUXMEBOURG)
CONTRACNE 20 mg  capsule molle;capsule molle;LABORATOIRES BAILLEUL (LUXMEBOURG)
CONTRACNE 40 mg  capsule molle;capsule molle;LABORATOIRES BAILLEUL (LUXMEBOURG)
CONTRACNE 5 mg  capsule molle;capsule molle;LABORATOIRES BAILLEUL (LUXMEBOURG)
CONTRAMAL 100 mg/2 ml  solution injectable;solution injectable;LABORATOIRES GRUNENTHAL
CONTRAMAL 100 mg/ml  solution buvable;solution buvable;LABORATOIRES GRUNENTHAL
CONTRAMAL 50 mg  gélule;gélule;LABORATOIRES GRUNENTHAL
CONTRAMAL LP 100 mg  comprimé à libération prolongée;comprimé à libération prolongée;LABORATOIRES GRUNENTHAL
CONTRAMAL LP 150 mg  comprimé à libération prolongée;comprimé à libération prolongée;LABORATOIRES GRUNENTHAL
CONTRAMAL LP 200 mg  comprimé à libération prolongée;comprimé à libération prolongée;LABORATOIRES GRUNENTHAL
CONTRATHION 2 POUR CENT  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;SERB
CONTRE-COUPS DE L'ABBE PERDRIGEON  solution pour application cutanée;solution pour application;PIONNEAU
CONVALLARIA MAJALIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CONVALLARIA MAJALIS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CONVOLVULUS ARVENSIS BOIRON  degré de dilution compris entre 2CH à 30CH et 4DH à 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CONVULINE 0 03 mg/3 mg  comprimé pelliculé;comprimé pelliculé;BAYER HEALTHCARE
COOLMETEC 20 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;DAIICHI SANKYO FRANCE
COOLMETEC 20 mg/25 mg  comprimé pelliculé;comprimé pelliculé;DAIICHI SANKYO FRANCE
COOLMETEC 40 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;DAIICHI SANKYO FRANCE
COOLMETEC 40 mg/25 mg  comprimé pelliculé;comprimé pelliculé;DAIICHI SANKYO FRANCE
COPAXONE 20 mg/ml  solution injectable en seringue préremplie;solution injectable;TEVA SANTE
COPAXONE 20 mg/ml  solution injectable en seringue préremplie;solution injectable;TEVA SANTE
COPAXONE 40 mg/ml  solution injectable en seringue préremplie;solution injectable;TEVA SANTE
COPEGUS 200 mg  comprimé pelliculé;comprimé pelliculé;ROCHE
COPEGUS 400 mg  comprimé pelliculé;comprimé pelliculé;ROCHE
COQUELUSEDAL ADULTES  suppositoire;suppositoire;ELERTE
COQUELUSEDAL ENFANTS  suppositoire;suppositoire;ELERTE
COQUELUSEDAL NOURRISSONS  suppositoire;suppositoire;ELERTE
COQUELUSEDAL PARACETAMOL 100 mg  suppositoire;suppositoire;ELERTE
COQUELUSEDAL PARACETAMOL 250 mg  suppositoire;suppositoire;ELERTE
COQUELUSEDAL PARACETAMOL 500 mg  suppositoire;suppositoire;ELERTE
CORBILTA 100 mg/25 mg/200 mg  comprimé pelliculé;comprimé pelliculé;ORION CORPORATION
CORBILTA 125 mg/31 25 mg/200 mg  comprimé pelliculé;comprimé pelliculé;ORION CORPORATION
CORBILTA 150 mg/37 5 mg/200 mg  comprimé pelliculé;comprimé pelliculé;ORION CORPORATION
CORBILTA 175 mg/43 75 mg/200 mg  comprimé pelliculé;comprimé pelliculé;ORION CORPORATION
CORBILTA 200 mg/50 mg/200 mg  comprimé pelliculé;comprimé pelliculé;ORION CORPORATION
CORBILTA 50 mg/12 5 mg/200 mg  comprimé pelliculé;comprimé pelliculé;ORION CORPORATION
CORBILTA 75 mg/18 75 mg/200 mg  comprimé pelliculé;comprimé pelliculé;ORION CORPORATION
CORDARONE 150 mg/3 ml  solution injectable en ampoule (IV);solution injectable;SANOFI AVENTIS FRANCE
CORDARONE 200 mg  comprimé sécable;comprimé sécable;PHARMA LAB
CORDARONE 200 mg  comprimé sécable;comprimé sécable;MEDIWIN
CORDARONE 200 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
CORDARONE 200 mg  comprimé sécable;comprimé sécable;BB FARMA (ITALIE)
CORGARD 80 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
CORICIDE LE DIABLE 11 g/100 g  solution pour application cutanée;solution pour application;STRADIS
CORICIDE LE DIABLE 12 5 g/100 g  solution pour application locale;solution pour application;STRADIS
COROTROPE 10 mg/10 ml  solution injectable IV;solution injectable;SANOFI AVENTIS FRANCE
CORRECTOL 0 1 POUR CENT  collyre;collyre;NOVARTIS PHARMA
CORTANCYL 1 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
CORTANCYL 20 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
CORTANCYL 5 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
CORTAPAISYL 0 5 %  crème;crème;MERCK MEDICATION FAMILIALE
CORTEXAN FRAMYCETINE  pâte pour usage dentaire;pâte pour usage dentaire;LABORATOIRE ATO-ZIZINE
CORTIMENT 9 mg  comprimé à libération prolongée;comprimé à libération prolongée;FERRING (FRANCE)
CORTISAL  crème;crème;ETHYPHARM
CORTISEDERMYL 0 5 %  crème;crème;COOPER
CORTISONE BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CORVASAL 2 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
CORVASAL 4 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
CORYZALIA  comprimé orodispersible;comprimé orodispersible;BOIRON
CORYZALIA  solution buvable en récipient unidose;solution buvable;BOIRON
COSENTYX 150 mg  solution injectable en seringue préremplie;solution injectable;NOVARTIS EUROPHARM (ROYAUME-UNI)
COSENTYX 150 mg  solution injectable en stylo prérempli;solution injectable;NOVARTIS EUROPHARM (ROYAUME-UNI)
COSIDIME 20 mg/mL + 5 mg/mL  collyre en solution;collyre en solution;SANTEN OY
COSIMPREL 10 mg/10 mg  comprimé pelliculé;comprimé pelliculé;LES LABORATOIRES SERVIER
COSIMPREL 10 mg/5 mg  comprimé pelliculé;comprimé pelliculé;LES LABORATOIRES SERVIER
COSIMPREL 5 mg/10 mg comprimé pelliculé sécable;comprimé pelliculé sécable;LES LABORATOIRES SERVIER
COSIMPREL 5 mg/5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;LES LABORATOIRES SERVIER
COSMEGEN 0 5 mg  poudre pour solution injectable;poudre pour solution injectable;ORPHAN EUROPE
COSOPT 20 mg/ml + 5 mg/ml  collyre en solution;collyre en solution;SANTEN OY
COSOPT 20 mg/ml + 5 mg/ml  collyre en solution;collyre en solution;PHARMA LAB
COSOPT 20 mg/ml + 5 mg/ml  collyre en solution en récipient unidose;collyre en solution;SANTEN OY
COTAREG 160 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;NOVARTIS PHARMA
COTAREG 160 mg/25 mg  comprimé pelliculé;comprimé pelliculé;NOVARTIS PHARMA
COTAREG 80 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;NOVARTIS PHARMA
COTELLIC 20 mg  comprimé pelliculé;comprimé pelliculé;ROCHE REGISTRATION (ALLEMAGNE)
COTEOULA 30 mg/12 5 mg  comprimé pelliculé;comprimé pelliculé;MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG
COTRIATEC 5 mg/12 5 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
COTRIMOXAZOLE TEVA 800 mg/160 mg  comprimé;comprimé;TEVA SANTE
COUMADINE 2 mg  comprimé sécable;comprimé sécable;BRISTOL MYERS SQUIBB
COUMADINE 5 mg  comprimé sécable;comprimé sécable;BRISTOL MYERS SQUIBB
COUMADINE 5 mg  comprimé sécable;comprimé sécable;MEDIWIN
COVATINE 50 mg  comprimé enrobé;comprimé enrobé;LABORATOIRE BAILLY CREAT
COVERAM 10 mg/10 mg  comprimé;comprimé;MEDIWIN
COVERAM 10 mg/10 mg  comprimé;comprimé;PHARMA LAB
COVERAM 10 mg/10 mg  comprimé;comprimé;BB FARMA (ITALIE)
COVERAM 10 mg/10 mg  comprimé;comprimé;MEDIWIN
COVERAM 10 mg/10 mg  comprimé;comprimé;PHARMA LAB
COVERAM 10 mg/10 mg  comprimé;comprimé;LES LABORATOIRES SERVIER
COVERAM 10 mg/10 mg  comprimé;comprimé;MEDIWIN
COVERAM 10 mg/5 mg  comprimé;comprimé;MEDIWIN
COVERAM 10 mg/5 mg  comprimé;comprimé;PHARMA LAB
COVERAM 10 mg/5 mg  comprimé;comprimé;BB FARMA (ITALIE)
COVERAM 10 mg/5 mg  comprimé;comprimé;MEDIWIN
COVERAM 10 mg/5 mg  comprimé;comprimé;PHARMA LAB
COVERAM 10 mg/5 mg  comprimé;comprimé;MEDIWIN
COVERAM 10 mg/5 mg  comprimé;comprimé;LES LABORATOIRES SERVIER
COVERAM 5 mg/10 mg  comprimé;comprimé;LES LABORATOIRES SERVIER
COVERAM 5 mg/10 mg  comprimé;comprimé;PHARMA LAB
COVERAM 5 mg/10 mg  comprimé;comprimé;PHARMA LAB
COVERAM 5 mg/10 mg  comprimé;comprimé;MEDIWIN
COVERAM 5 mg/10 mg  comprimé;comprimé;MEDIWIN
COVERAM 5 mg/10 mg  comprimé;comprimé;BB FARMA (ITALIE)
COVERAM 5 mg/5 mg  comprimé;comprimé;MEDIWIN
COVERAM 5 mg/5 mg  comprimé;comprimé;BB FARMA (ITALIE)
COVERAM 5 mg/5 mg  comprimé;comprimé;PHARMA LAB
COVERAM 5 mg/5 mg  comprimé;comprimé;LES LABORATOIRES SERVIER
COVERAM 5 mg/5 mg  comprimé;comprimé;MEDIWIN
COVERAM 5 mg/5 mg  comprimé;comprimé;MEDIWIN
COVERAM 5 mg/5 mg  comprimé;comprimé;PHARMA LAB
COVERSYL 10 mg  comprimé pelliculé;comprimé pelliculé;LES LABORATOIRES SERVIER
COVERSYL 10 mg  comprimé pelliculé;comprimé pelliculé;PHARMA LAB
COVERSYL 10 mg  comprimé pelliculé;comprimé pelliculé;BB FARMA (ITALIE)
COVERSYL 10 mg  comprimé pelliculé;comprimé pelliculé;MEDIWIN
COVERSYL 2 5 mg  comprimé pelliculé;comprimé pelliculé;LES LABORATOIRES SERVIER
COVERSYL 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;MEDIWIN
COVERSYL 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;LES LABORATOIRES SERVIER
COVERSYL 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;BB FARMA (ITALIE)
COVERSYL 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;PHARMA LAB
COVERSYL 5 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;MEDIWIN
COZAAR 100 mg  comprimé pelliculé;comprimé pelliculé;MSD FRANCE
COZAAR 100 mg  comprimé pelliculé;comprimé pelliculé;BB FARMA (ITALIE)
COZAAR 100 mg  comprimé pelliculé;comprimé pelliculé;MEDIWIN
COZAAR 2 5 mg/ml  poudre et solvant pour suspension buvable;poudre et  solvant pour suspension buvable;MSD FRANCE
COZAAR 50 mg  comprimé pelliculé;comprimé pelliculé;MSD FRANCE
COZAAR 50 mg  comprimé pelliculé sécable;comprimé pelliculé;MEDIWIN
COZAAR 50 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;BB FARMA (ITALIE)
CRATAEGUS COMPLEXE N°15  solution buvable en gouttes;solution buvable en gouttes;LEHNING
CRATAEGUS OXYACANTHA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CRATAEGUS OXYACANTHA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CRATAEGUS  digesté WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes et  crème;WELEDA
CREME AU CALENDULA  crème;crème;BOIRON
CREME DE DALIBOUR COOPER  crème;crème;COOPER
CREON 10 000 U  gélule gastro-résistante;gélule gastro-résistant(e);MYLAN MEDICAL
CREON 25 000 U  gélule gastro-résistante;gélule gastro-résistant(e);MYLAN MEDICAL
CREON 40 000 U  gélule gastro-résistante;gélule gastro-résistant(e);MYLAN MEDICAL
CREON 5000 U  granulés gastro-résistants;granulés gastro-résistant(e);MYLAN MEDICAL
CRESEMBA 100 mg  gélule;gélule;BASILEA MEDICAL C/O COX COSTELLO & HORNE (ROYAUME-UNI)
CRESEMBA 200 mg  poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;BASILEA MEDICAL C/O COX COSTELLO & HORNE (ROYAUME-UNI)
